velocidad_bala,distancia,altura_bala,accion
-11.0,849.0,610.0,0
-11.0,838.0,610.0,0
-11.0,827.0,610.0,0
-11.0,816.0,610.0,0
-11.0,805.0,610.0,0
-11.0,794.0,610.0,0
-11.0,783.0,610.0,0
-11.0,772.0,610.0,0
-11.0,761.0,610.0,0
-11.0,750.0,610.0,0
-11.0,739.0,610.0,0
-11.0,728.0,610.0,0
-11.0,717.0,610.0,0
-11.0,706.0,610.0,0
-11.0,695.0,610.0,0
-11.0,684.0,610.0,0
-11.0,673.0,610.0,0
-11.0,662.0,610.0,0
-11.0,651.0,610.0,0
-11.0,640.0,610.0,0
-11.0,629.0,610.0,0
-11.0,618.0,610.0,0
-11.0,607.0,610.0,0
-11.0,596.0,610.0,0
-11.0,585.0,610.0,0
-11.0,574.0,610.0,0
-11.0,563.0,610.0,0
-11.0,552.0,610.0,0
-11.0,541.0,610.0,0
-11.0,530.0,610.0,0
-11.0,519.0,610.0,0
-11.0,508.0,610.0,0
-11.0,497.0,610.0,0
-11.0,486.0,610.0,0
-11.0,475.0,610.0,0
-11.0,464.0,610.0,0
-11.0,453.0,610.0,0
-11.0,442.0,610.0,0
-11.0,431.0,610.0,0
-11.0,420.0,610.0,0
-11.0,409.0,610.0,0
-11.0,398.0,610.0,0
-11.0,387.0,610.0,0
-11.0,376.0,610.0,0
-11.0,365.0,610.0,0
-11.0,354.0,610.0,0
-11.0,343.0,610.0,0
-11.0,332.0,610.0,0
-11.0,321.0,610.0,0
-11.0,310.0,610.0,0
-11.0,299.0,610.0,0
-11.0,288.0,610.0,0
-11.0,277.0,610.0,0
-11.0,266.0,610.0,0
-11.0,255.0,610.0,0
-11.0,244.0,610.0,0
-11.0,233.0,610.0,0
-11.0,222.0,610.0,0
-11.0,211.0,610.0,0
-11.0,200.0,610.0,0
-11.0,189.0,610.0,0
-11.0,178.0,610.0,0
-11.0,167.0,610.0,0
-11.0,156.0,610.0,0
-11.0,145.0,610.0,0
-11.0,134.0,610.0,0
-11.0,123.0,610.0,1
-11.0,112.0,610.0,1
-11.0,101.0,610.0,1
-11.0,90.0,610.0,1
-11.0,79.0,610.0,1
-11.0,68.0,610.0,1
-11.0,57.0,610.0,1
-11.0,46.0,610.0,1
-11.0,35.0,610.0,1
-11.0,24.0,610.0,1
-11.0,13.0,610.0,1
-11.0,2.0,610.0,1
-11.0,9.0,610.0,1
-11.0,20.0,610.0,1
-11.0,31.0,610.0,1
-11.0,42.0,610.0,1
-11.0,53.0,610.0,1
-11.0,64.0,610.0,1
-13.0,957.0,643.0,1
-13.0,944.0,643.0,1
-13.0,931.0,643.0,1
-13.0,918.0,643.0,1
-13.0,905.0,643.0,1
-13.0,892.0,643.0,1
-13.0,879.0,643.0,1
-13.0,866.0,643.0,1
-13.0,853.0,643.0,1
-13.0,840.0,643.0,1
-13.0,827.0,643.0,1
-13.0,814.0,643.0,1
-13.0,801.0,643.0,1
-13.0,788.0,643.0,0
-13.0,775.0,643.0,0
-13.0,762.0,643.0,0
-13.0,749.0,643.0,0
-13.0,736.0,643.0,0
-13.0,723.0,643.0,0
-13.0,710.0,643.0,0
-13.0,697.0,643.0,0
-13.0,684.0,643.0,0
-13.0,671.0,643.0,0
-13.0,658.0,643.0,0
-13.0,645.0,643.0,0
-13.0,632.0,643.0,0
-13.0,619.0,643.0,0
-13.0,606.0,643.0,0
-13.0,593.0,643.0,0
-13.0,580.0,643.0,0
-13.0,567.0,643.0,0
-13.0,554.0,643.0,0
-13.0,541.0,643.0,0
-13.0,528.0,643.0,0
-13.0,515.0,643.0,0
-13.0,502.0,643.0,0
-13.0,489.0,643.0,0
-13.0,476.0,643.0,0
-13.0,463.0,643.0,0
-13.0,450.0,643.0,0
-13.0,437.0,643.0,0
-13.0,424.0,643.0,0
-13.0,411.0,643.0,0
-13.0,398.0,643.0,0
-13.0,385.0,643.0,0
-13.0,372.0,643.0,0
-13.0,359.0,643.0,0
-13.0,346.0,643.0,0
-13.0,333.0,643.0,0
